Department,TotalRetained,TechnovaRetained,Tenure15+,ARated,TotalSalary,TotalOutput
Administrative Services,30,15,15,7,1402000,198
Business Strategy,37,22,20,8,1635000,237
Customer Experience,98,58,38,20,4576000,642
Finance,74,39,35,13,3285000,471
Human Resources,54,30,29,12,2580000,360
It And Systems,81,37,36,18,3831000,534
Manufacturing And Operations,166,91,70,31,7602000,1065
Quality Assurance,52,24,25,10,2345000,330
Research & Department,98,41,41,16,4296000,612
Sales And Marketing,110,66,41,24,5084000,705
